year,movie_title,movie_actors
1965,Shakunthala (1965),"Sathyan ,Prem Nazeer ,Thikkurissi Sukumaran Nair ,MS Namboothiri ,KS Gopinath ,Jolly ,Aranmula Ponnamma ,Prema ,Rani ,KR Vijaya ,Rajashree (Gracy)"
1965,Sarppakkaadu (1965),"Madhu ,Kottarakkara Sreedharan Nair ,Adoor Bhasi ,Muthukulam Raghavan Pillai ,Kottayam Chellappan ,Ambika Sukumaran ,Sukumari"
1965,Rosi (1965),"Prem Nazeer ,TS Muthaiah ,DK Chellappan ,Thikkurissi Sukumaran Nair ,PJ Antony ,Vijayanirmala ,Kaviyoor Ponnamma"
1965,Kaattupookkal (1965),"Madhu ,Thikkurissi Sukumaran Nair ,O Madhavan ,Adoor Bhasi ,SP Pillai ,MG Soman ,Philomina ,Devika ,Vijayakumari ,Jayanthi (Old) ,Sujatha (Old) ,Chithradevi ,Adoor Pankajam ,Nilambur Ayisha ,Kottayam Chellappan ,Kalakkal Kumaran ,Paravoor Bharathan ,Nellikkodu Bhaskaran ,Manavalan Joseph ,Master Suresh ,Chithradevi"
1965,Kuppivala (1965),"Prem Nazeer ,Kottayam Chellappan ,Johnson ,Bahadoor ,Nilambur Ayisha ,Sukumari ,Ambika Sukumaran ,S Malathi"
1965,Chettathi (1965),"Sathyan ,Prem Nazeer ,Adoor Bhasi ,Thikkurissi Sukumaran Nair ,TK Balachandran ,Kottayam Chellappan ,Ambika Sukumaran ,Ushakumari ,Sukumari ,Chitra"
1965,Bhoomiyile Maalakha (1965),"Prem Nazeer ,Thikkurissi Sukumaran Nair ,Adoor Bhasi ,TS Muthaiah ,TK Balachandran ,Kalaikkal Kumaran ,Panjabi ,Kaduvakkulam Antony ,Jeysi ,Muthukulam Raghavan Pillai ,O Ramdas ,Devidasan ,Rajalakshmi (Old) ,Sumathi ,Lakshmi (Old) ,VN Janaki ,Sukumari ,Nirmala ,Kedamangalam ,VS Achari ,Paravoor Bharathan ,Aravindakshan ,Mohan (Old) ,Gopalan ,Vijayan ,Master Shaji Thomas"
1965,Murappennu (1965),"Prem Nazeer ,KP Ummer ,Madhu ,Murali Sr. ,PJ Antony ,Sarada ,Jyothilakshmi ,Shanthadevi ,Kaliyamma"
1965,Subaida (1965),"Madhu ,Jose Prakash ,Prem Navas ,Bahadoor ,Nilambur Ayisha ,Meena ,Ambika Sukumaran ,Devaki ,KP Abbas ,Haji Abdul Rahman ,Santo Krishnan ,Shukkoor ,SA Fareed ,Ravi ,Kumari Sachu ,Philomina ,Suprabha ,Saroja ,Latha Raju"
1965,Daaham (1965),"Sathyan ,KP Ummer ,Bahadoor ,Sheela ,Indira ,PS Parvathy ,Kaviyoor Ponnamma ,Sree Narayanapillai ,BK Pottakkad ,Sreemoolanagaram Vijayan ,Murali Sr. ,AM Babu ,Kunchan ,Prathapachandran ,Master Shaji ,Miss Barie"
1965,Porter Kunjaali (1965),"Adoor Bhasi ,Panjabi ,Prem Nazeer ,TS Muthaiah ,Bahadoor ,Muthukulam Raghavan Pillai ,PA Thomas ,O Ramdas ,Sheela ,TR Omana ,Kumari Thankam ,Annie (Old) ,Suprabha"
1965,Thankakkudam (1965),"Prem Nazeer ,TS Muthaiah ,Adoor Bhasi ,Santhoshkumar ,Haji Abdul Rahman ,Ambika Sukumaran ,Nilambur Ayisha ,Sheela ,Philomina"
1965,Kadathukaaran (1965),"Sathyan ,Hari ,Prem Navas ,GK Pillai ,Adoor Bhasi ,Paravoor Bharathan ,Kottayam Chellappan ,Haji Abdul Rahman ,Sheela ,Ambika Sukumaran ,Suprabha ,Sujatha (Old) ,Adoor Pankajam ,Baby Vinodini ,Latha Raju ,Udayachandrika"
1965,Raajamalli (1965),"Prem Nazeer ,TS Muthaiah ,GK Pillai ,KP Abbas ,Paravoor Bharathan ,JAR Anand ,Sukumari ,Subhadra ,Malathi ,Kottayam Shantha ,Sarada"
1965,Ammu (1965),"Sathyan ,Madhu ,Adoor Bhasi ,Kaduvakkulam Antony ,Premji ,Sukumari ,PK Saraswathi ,Sujatha (Old) ,Ambika Sukumaran ,Prem Navas ,Indira Thampi ,Omanakkuttan ,Kedamangalam Ali ,Master Ajith ,Baby Saru"
1965,Kaathirunna Nikkaah (1965),"Prem Nazeer ,Thikkurissi Sukumaran Nair ,Adoor Bhasi ,Bahadoor ,Haji Abdul Rahman ,SP Pillai ,Sheela ,Ambika Sukumaran ,Meena ,"
1965,Kochumon (1965),"Prem Nazeer ,TS Muthaiah ,Thikkurissi Sukumaran Nair ,Mamman Varghese ,Nalini Sr. ,Meena ,CR Lakshmi ,Adoor Pankajam ,Ammu ,TR Omana ,Vijayakumari ,Kottayam Shantha ,Adoor Bhasi ,Nellikkodu Bhaskaran ,Kedamangalam Ali ,KP Kurian ,Haji Abdul Rahman"
1965,Inapraavukal (1965),"Sathyan ,Sachu ,Prem Nazeer ,TS Muthaiah ,Kottarakkara Sreedharan Nair ,Jijo ,Thikkurissi Sukumaran Nair ,KS Gopinath ,SP Pillai ,Sarada ,Adoor Pankajam ,Nalini Sr. ,Punnasseri Kanchana"
1965,Maayaavi (1965),"Prem Nazeer ,Madhu ,Kottarakkara Sreedharan Nair ,Thikkurissi Sukumaran Nair ,Paravoor Bharathan ,Kundara Bhasi ,Muttathara Soman ,SP Pillai ,Sheela ,KV Shanthi ,Adoor Bhasi ,Aranmula Ponnamma ,Sreekantan Nair ,Soman (Old) ,Anandavalli"
1965,Chemmeen (1965),"Sathyan ,Kottarakkara Sreedharan Nair ,Madhu ,SP Pillai ,Rajakumari ,Adoor Bhavani ,Philomina ,Sheela ,Latha Raju ,AJ Eddie ,JAR Anand ,Adoor Pankajam ,Nilambur Ayisha ,Kamaladevi ,Paravoor Bharathan ,Kottayam Chellappan ,Kaduvakkulam Antony ,Kedamangalam Ai ,KP Abbas ,Sreemoolanagaram Vijayan ,NN Pisharadi ,Dr Immatty ,Abukkoya ,Ashokan (Old) ,Omanakkuttan ,Shihab ,Jolly ,Nabeesa ,Karthyayani ,Kedamangalam Ali"
1965,Devatha (1965),"Sathyan ,Prem Nazeer ,TS Muthaiah ,Adoor Bhasi ,SP Pillai ,Sushama ,Bharathi Menon ,Ambika Sukumaran ,Sasikala ,Baby Padmini ,Adoor Pankajam"
1965,Kaavyamela (1965),"Prem Nazeer ,Adoor Bhasi ,Muthukulam Raghavan Pillai ,Murali Sr. ,Ramesh ,Nellikkodu Bhaskaran ,GK Pillai ,SP Pillai ,Sheela ,KJ Yesudas"
1965,Kalyaana Photo (1965),"Madhu ,Adoor Bhasi ,Muthukulam Raghavan Pillai ,Kottarakkara Sreedharan Nair ,PA Thomas ,Kochappan ,Kamaladevi ,Philomina ,Nirmala ,Musthafa Valanchery"
1965,Shyaamala Chechi (1965),"Sathyan ,TS Muthaiah ,Kottarakkara Sreedharan Nair ,Bahadoor ,Adoor Bhasi ,Pappukutty Bhagavathar ,Premji ,TR Omana ,Sukumari ,Ambika Sukumaran ,Pariyanampatta"
1965,Thommante Makkal (1965),"Sathyan ,Madhu ,Kottarakkara Sreedharan Nair ,Adoor Bhasi ,KS Gopinath ,Ambika Sukumaran ,Adoor Pankajam ,Kaviyoor Ponnamma ,Baby Shobha ,Sheela ,Joseph Chacko"
1965,Odayil Ninnu (1965),"Sathyan ,Prem Nazeer ,SP Pillai ,Thikkurissi Sukumaran Nair ,Adoor Bhasi ,Kalaikkal Kumaran ,Kottayam Chellappan ,Kaviyoor Ponnamma ,Adoor Pankajam ,Baby Padmini ,KR Vijaya ,Suresh Gopi ,Gopinathan Nair"
1965,Pattuthoovala (1965),"Madhu ,Kottarakkara Sreedharan Nair ,Adoor Bhasi ,Nellikkodu Bhaskaran ,SP Pillai ,Pankajavalli ,KV Shanthi ,Sheela ,Laila (Old)"
1965,Kaattuthulasi (1965),"Sathyan ,Kottarakkara Sreedharan Nair ,Bahadoor ,Manavalan Joseph ,KS Gopinath ,Adoor Bhasi ,MS Namboothiri ,Sarada ,Ushakumari"
1965,Kaliyodam (1965),"Prem Nazeer ,Madhu ,Thikkurissi Sukumaran Nair ,Babu Joseph ,Ramachandran Nair ,SP Pillai ,KV Shanthi ,Pankajavalli ,Anandavalli ,Jayanthi ,Joseph Chacko ,Baby Vinodini"
1965,Muthalaali (1965),"TS Muthaiah ,Prem Nazeer ,Pappukutty Bhagavathar ,SP Pillai ,Panjabi ,Aranmula Ponnamma ,Sheela ,Adoor Pankajam ,Kottayam Shantha ,Jr Padmini"
1965,Jeevithayaathra (1965),"Prem Nazeer ,Thikkurissi Sukumaran Nair ,Bahadoor ,Adoor Bhasi ,Madhu ,Friend Ramaswamy ,SP Pillai ,Kottayam Chellappan ,Ambika Sukumaran ,Sukumari ,Shobha"
1966,Kadamattathachan (1966),"Thikkurissi Sukumaran Nair ,N Govindankutty ,Muthukulam Raghavan Pillai ,Chavara VP Nair ,SP Pillai ,GK Pillai ,Rajashree (Gracy) ,Priyamvada ,Sukumari ,TR Omana ,Pallam Joseph ,CI Jose ,Sishyadev ,G Gopinath ,Anujan Kurichi ,Gundumani ,Kottayi ,Pisharadi ,Thankappan ,Sasikala ,Swarnalatha ,Thankamani ,Bharathi (Old)"
