,status,director,producer,banner,story,screenplay,cinematography,movie,year,main_Cast,support_cast,editing,dialogue,lyrics,music,singers,movie genre,original story,art direction,distribution,makeup,background music,costumes,sound design,choreography,shooting location,design
1,1928-07-11,JC Daniel,JC Daniel,Travancore National Pictures Ltd,JC Daniel,JC Daniel,JC Daniel,vigathakumaaran,1928,"['JC Daniel', 'Johnson', 'PK Rosy', 'Sunder Raj']",[],,,,,,,,,,,,,,,,
1,1933-12-05,PV Rao,R Sundararaj,Sree Rajeswari Films,CV Raman Pillai,PV Rao,PE Nayik,maarthandavarma,1933,[],"['AP Padmanabha Menon', 'Devaki Bhai', 'Jayadevan', 'AP Krishna Menon', 'Pious', 'Padmini']",A Devaraj,,,,,,,,,,,,,,,
1,1938-01-19,S Nottani,TR Sundaram,Modern Theatres,A Sundaram Pillai,Muthukulam Raghavan Pilla,Bodo Gush Walker,balan,1938,"['KK Aroor', 'MK Kamalam', 'Alleppey Vincent']","['AP Padmanabha Menon', 'KN Lakshmi', 'Sivanandan', 'Subhadra', 'K Gopinath', 'MV Shanku', 'Baby Malathi', 'Baby Kausalya', 'CON Nambyar', 'Parukkutty', 'Ammu', 'Master Madana Gopalan', 'AB Payas', 'MKK Nambyar']",PP Varghese,Muthukulam Raghavan Pilla,Muthukulam Raghavan Pilla,"KK Aroor, Ibrahim","KK Aroor, Master Madanagopal, MK Kamalam, Palluruthi Lakshmi, Sivanandan",,,,,,,,,,,
1,1940-07-04,S Nottani,Annamala Chettiyar,Shyamala Pictures,C Madhavan Pillai,C Madhavan Pillai,N Cooper,jnaanaambika,1940,[],"['CA Seethalakshmi', 'Alleppey Vincent', 'MP Sanku', 'Mathappan', 'Nanukkuttan', 'Sebastian Kunjukunju Bhagavathar', 'Mavelikkara L Ponnamma', 'KK Aroor', 'PK Kamalakshi', 'CK Rajam']",,C Madhavan Pillai,Puthankavu Mathan Tharakan,TK Jayarama Iyer,"CK Rajam, KK Aroor, Mavelikkara L Ponnamma, PK Kamalakshi, Sebastian Kunjukunju Bhagavathar, CA Seethalakshmi, TI Rose",,,,,,,,,,,
1,1941-08-17,K Subramaniam,,Madras United Artist Corporation,,,,prahlaada,1941,[],"['TK Balachandran', 'Thankamani Gopinath', 'Guru Gopinath', 'Kumari Lakshmi']",,NP Chellappan Nair,K Madhava Warrier,Vidwan VS Parthasarathy Ayyankar,"Papanasam Sivan, VA Chellappa, Kumari Lakshmi",Mythology,Mythology,,,,,,,,,
1,1948-02-25,PV Krishnayyer,PJ Cheriyan,Kerala Talkies Ltd,MS Jacob,Puthezhathu Raman Menon,,nirmala,1948,[],"['Kamalamma', 'Baby Joseph', 'Mathappan', 'SJ Dev', 'Vimala B Varma', 'Joseph Cherian', 'Cherthala Vasudeva Kurup']",Balu,Puthezhathu Raman Menon,G Sankara Kurup,"EI Warrier, PS Divakar","P Leela, PK Raghavan, Sarojini Menon, TK Govindarao, Vimala B Varma, Cherthala Vasudeva Kurup",,,,,,,,,,,
1,1949-01-14,Felix J Beyse,"M Kunchacko, KV Koshy",K&K Productions,Kuttanadu Ramakrishna Pillai,,U Rama Moorthy,vellinakshathram,1949,"['Gayaka Peethambaram', 'Lalitha Devi']","['Alleppey Vincent', 'Kandiyoor Parameshwaran Pillai', 'Cherayi Ambujam', 'Miss Kumari', 'Baby Girija']",KD George,,Abhayadev,"BA Chidambaranath, Cherayi Das","Cherayi Ambujam, Gayaka Peethambaram, Ponkunnam Ambujam, Savithri Alappuzha, Miss Kumari",,,,,,,,,,,
1,1950-04-21,R Velappan Nair,K Parameswaran Pillai,Komala Films,Thikkurissi Sukumaran Nair,Thikkurissi Sukumaran Nair,PK Madhavan Nair,sthree,1950,[],"['CS Radhadevi', 'Kuryathi Neelakantan Nair', 'Vaikkom Mani', 'Aravindaksha Menon', 'Sumathi', 'Omalloor Chellamma']",KD George,Thikkurissi Sukumaran Nair,Thikkurissi Sukumaran Nair,BA Chidambaranath,"P Leela, Thikkurissi Sukumaran Nair, BA Chidambaranath, Medayil Sukumari, Savithri Alappuzha, Vaikkom Mani",,,,,,,,,,,
1,1950-08-17,Shri Ramulu Naidu,Pakshiraja Studio,Pakshiraja Productions,Munshi Paramupillai,Munshi Paramupillai,,prasanna,1950,['TS Balayya'],"['Ragini', 'Kandiyoor Parameshwaran Pillai', 'Kottarakkara Sreedharan Nair', 'Pappukutty Bhagavathar', 'Padmini', 'PA Thomas', 'TS Bharadwaj', 'Kanchana (Old)']",,Munshi Paramupillai,Abhayadev,Jnanamani,"Jayalakshmi (Radhajayalakshmi), ML Vasanthakumari, PA Periyanaayaki, Pappukutty Bhagavathar, Prasad Rao, Radha Jayalakshmi",,,,,,,,,,,
1,Released,PV Krishnayyer,"M Kunchacko, KV Koshy",K&K Productions,Muthukulam Raghavan Pilla,Muthukulam Raghavan Pilla,,nallathanka,1950,[],"['SP Pillai', 'Augustine Joseph', 'Vaikkom Mani', 'Miss Omana (NJ Mary)', 'TR Omana', 'Miss Kumari', 'Baby Girija']",KD George,Muthukulam Raghavan Pilla,Abhayadev,"V Dakshinamoorthy, A Ramarao","P Leela, Augustine Joseph, CS Radhadevi, Janamma David, Mrs Kuruvilla, Vaikkom Mani",,,,,,,,,,,
