Art Direction,Background Music,Banner,Choreography,Cinematography,Costumes,Design,Dialogue,Director,Distribution,Editing,Lyrics,Makeup,Movie,Movie Genre,Music,Original Story,Producer,Screenplay,Shooting Location,Singers,Sound Design,Status,Story,cast
,,Travancore National Pictures Ltd,,JC Daniel,,,,JC Daniel,,,,,Vigathakumaaran (1928),,,,JC Daniel,JC Daniel,,,,1928-07-11,JC Daniel,"['JC Daniel', 'Johnson', 'PK Rosy', 'Sunder Raj']"
,,Sree Rajeswari Films,,PE Nayik,,,,PV Rao,,A Devaraj,,,Maarthandavarma (1933),,,,R Sundararaj,PV Rao,,,,1933-12-05,CV Raman Pillai,"['Pious', 'Padmini', 'AP Krishna Menon', 'Devaki Bhai', 'Jayadevan', 'AP Padmanabha Menon', 'R Sundararaj']"
,,Modern Theatres,,Bodo Gush Walker,,,Muthukulam Raghavan Pilla,S Nottani,,PP Varghese,Muthukulam Raghavan Pilla,,Balan (1938),,"KK Aroor, Ibrahim",,TR Sundaram,Muthukulam Raghavan Pilla,,"KK Aroor, Master Madanagopal, MK Kamalam, Palluruthi Lakshmi, Sivanandan",,1938-01-19,A Sundaram Pillai,"['Alleppey Vincent', 'MK Kamalam', 'KK Aroor']"
,,Shyamala Pictures,,N Cooper,,,C Madhavan Pillai,S Nottani,,,Puthankavu Mathan Tharakan,,Jnaanaambika (1940),,TK Jayarama Iyer,,Annamala Chettiyar,C Madhavan Pillai,,"CK Rajam, KK Aroor, Mavelikkara L Ponnamma, PK Kamalakshi, Sebastian Kunjukunju Bhagavathar, CA Seethalakshmi, TI Rose",,1940-07-04,C Madhavan Pillai,"['CA Seethalakshmi', 'Nanukkuttan', 'Mavelikkara L Ponnamma', 'Mathappan', 'MP Sanku', 'Alleppey Vincent', 'Sebastian Kunjukunju Bhagavathar', 'KK Aroor', 'CK Rajam', 'PK Kamalakshi']"
,,Madras United Artist Corporation,,,,,NP Chellappan Nair,K Subramaniam,,,K Madhava Warrier,,Prahlaada (1941),Mythology,Vidwan VS Parthasarathy Ayyankar,Mythology,,,,"Papanasam Sivan, VA Chellappa, Kumari Lakshmi",,1941-08-17,,"['Guru Gopinath', 'Kumari Lakshmi', 'NP Chellappan Nair', 'TK Balachandran', 'Thankamani Gopinath']"
,,Kerala Talkies Ltd,,,,,Puthezhathu Raman Menon,PV Krishnayyer,,Balu,G Sankara Kurup,,Nirmala (1948),,"EI Warrier, PS Divakar",,PJ Cheriyan,Puthezhathu Raman Menon,,"P Leela, PK Raghavan, Sarojini Menon, TK Govindarao, Vimala B Varma, Cherthala Vasudeva Kurup",,1948-02-25,MS Jacob,"['PJ Cheriyan', 'Baby Joseph', 'Cherthala Vasudeva Kurup', 'Joseph Cherian', 'Kamalamma', 'Mathappan', 'SJ Dev', 'Vimala B Varma']"
,,K&K Productions,,U Rama Moorthy,,,,Felix J Beyse,,KD George,Abhayadev,,Vellinakshathram (1949),,"BA Chidambaranath, Cherayi Das",,"M Kunchacko, KV Koshy",,,"Cherayi Ambujam, Gayaka Peethambaram, Ponkunnam Ambujam, Savithri Alappuzha, Miss Kumari",,1949-01-14,Kuttanadu Ramakrishna Pillai,"['Gayaka Peethambaram', 'Lalitha Devi']"
,,Komala Films,,PK Madhavan Nair,,,Thikkurissi Sukumaran Nair,R Velappan Nair,,KD George,Thikkurissi Sukumaran Nair,,Sthree (1950),,BA Chidambaranath,,K Parameswaran Pillai,Thikkurissi Sukumaran Nair,,"P Leela, Thikkurissi Sukumaran Nair, BA Chidambaranath, Medayil Sukumari, Savithri Alappuzha, Vaikkom Mani",,1950-04-21,Thikkurissi Sukumaran Nair,"['Thikkurissi Sukumaran Nair', 'CS Radhadevi', 'Vaikkom Mani', 'Aravindaksha Menon', 'Kuryathi Neelakantan Nair', 'Omalloor Chellamma', 'Sumathi']"
,,Pakshiraja Productions,,,,,Munshi Paramupillai,Shri Ramulu Naidu,,,Abhayadev,,Prasanna (1950),,Jnanamani,,Pakshiraja Studio,Munshi Paramupillai,,"Jayalakshmi (Radhajayalakshmi), ML Vasanthakumari, PA Periyanaayaki, Pappukutty Bhagavathar, Prasad Rao, Radha Jayalakshmi",,1950-08-17,Munshi Paramupillai,['TS Balayya']
,,K&K Productions,,,,,Muthukulam Raghavan Pilla,PV Krishnayyer,,KD George,Abhayadev,,Nallathanka (1950),,"V Dakshinamoorthy, A Ramarao",,"M Kunchacko, KV Koshy",Muthukulam Raghavan Pilla,,"P Leela, Augustine Joseph, CS Radhadevi, Janamma David, Mrs Kuruvilla, Vaikkom Mani",,In progress,Muthukulam Raghavan Pilla,"['Augustine Joseph', 'Muthukulam Raghavan Pilla', 'TR Omana', 'Vaikkom Mani', 'Baby Girija', 'Miss Kumari', 'SP Pillai', 'Miss Omana (NJ Mary)']"
"Raju, VM Vathrukkar",,Sree Krishna Productions,,NC Balakrishnan,,,Nagavally RS Kurup,VS Raghavan,,VS Rajan,"P Bhaskaran, Thumbaman Padmanabhan Kutty",,Chandrika (1950),,"V Dakshinamoorthy, Govindarajulu Naidu",,KMK Menon,Nagavally RS Kurup,,"P Leela, Ganabhooshanam N Lalitha, Jikki (PG Krishnaveni), VN Sundaram",,1950-08-24,NP Chellappan Nair,"['Sethulakshmi (Old)', 'Thikkurissi Sukumaran Nair']"
,,Kailas Pictures,,B Doraraj,,,NP Chellappan Nair,T Janaki Ram,,,Thumbaman Padmanabhan Kutty,,Sasidharan (1950),,Kalinga Rao,,Swami Narayanan,NP Chellappan Nair,,"Chorus, Kalinga Rao, Kaviyoor CK Revamma, Mohanakumari, Vaikkom Mani",,1950-04-13,NP Chellappan Nair,"['Aranmula Ponnamma', 'Kottarakkara Sreedharan Nair', 'Miss Kumari', 'NP Chellappan Nair', 'Kaviyoor CK Revamma', 'PK Vikraman Nair', 'Ambalappuzha Krishnamoorthy', 'R Kumaran Bhagavathar', 'Nagavally RS Kurup', 'Vaikkom Mani', 'TR Omana', 'PK Kamalakshi', 'SP Pillai', 'KK Padmanabhankutty Asan', 'E Kuttiyamma Bhagavathar', 'Miss Omana (NJ Mary)', 'Kannara K Kunjkrishnan', 'Pothan P Puthumana']"
,,Kailas Pictures,,,,,NP Chellappan Nair,T Janaki Ram,,PG Mohan,"Abhayadev, Traditional",,Chechi (1950),,GK Venkitesh,,Swami Narayanan,NP Chellappan Nair,,"GK Venkitesh, Kalinga Rao, Kaviyoor CK Revamma, Mohanakumari, TA Lakshmi, VN Rajan",,1950-02-15,NP Chellappan Nair,"['TR Omana', 'SP Pillai', 'SA Fareed', 'Miss Kumari', 'Kottarakkara Sreedharan Nair', 'Cherthala Vasudeva Kurup', 'Aranmula Ponnamma', 'Vaikkom Raju', 'Miss Omana (NJ Mary)']"
,,K&K Productions,,PB Mani,,,Muthukulam Raghavan Pilla,K Vembu,,KD George,"Abhayadev, Vallathol",,Jeevithanouka (1951),,V Dakshinamoorthy,,"M Kunchacko, KV Koshy",Muthukulam Raghavan Pilla,,"V Dakshinamoorthy, P Leela, Alappuzha Pushpam, Ghantasala, Kaviyoor CK Revamma, Mehboob, Sebastian Kunjukunju Bhagavathar, T Lokanathan, TK Balachandran",,1951-03-15,Muthukulam Raghavan Pilla,"['BS Saroja', 'Thikkurissi Sukumaran Nair']"
,,Jayabharath Pictures,,Shanmugham,,,K Chellappan Pillai,MR Vittal,,TM Lal,"Abhayadev, Thumbaman Padmanabhan Kutty",,Rakthabandham (1951),,"SM Subbaiah Naidu, SN Chaami (SN Ranganathan)",,NK Karunakaran Pillai,K Chellappan Pillai,,"P Leela, Kaviyoor CK Revamma, Vaikkom Mani, Kuttappan Bhagavathar",,1951-05-18,K Chellappan Pillai,"['Ambalappuzha Meenakshi', 'Cherthala Vasudeva Kurup', 'Miss Omana (NJ Mary)']"
A Balu,,Kairali Productions,,R Velappan Nair,,,"Abhayadev, PS Nair",R Velappan Nair,,KD George,"Abhayadev, Bodheswaran, G Sankara Kurup",,Yaachakan (1951),,SN Chaami (SN Ranganathan),,KS Akhileswarayyar,PS Nair,,"Kaviyoor CK Revamma, T Lokanathan, VN Rajan",,1951-12-09,PS Nair,"['Thiruvananthapuram Kuttan Pillai', 'Muthukulam Raghavan Pilla', 'Achamma', 'Ambalappuzha Krishnamoorthy', 'Ambalappuzha Meenakshi', 'Aranmula Ponnamma', 'Kottarakkara Sreedharan Nair', 'Lakshmikkutti', 'MP Manmadhan', 'Miss Kumari', 'Pallam Joseph', 'Rajamma', 'SJ Dev', 'SP Pillai', 'Thankam', 'SV Susheela']"
,,Star Combines,,,,,"KN Gopalan Nair, N Shankarapillai",V Krishnan,Geo Release,,Thumbaman Padmanabhan Kutty,,Kerala Kesari (1951),,Jnanamani,,Vaikkom Vasudevan Nair,N Shankarapillai,,"P Leela, Kaviyoor CK Revamma, Mothi, Thankam Vasudevan Nair, Vaikkom Vasudevan Nair",,1951-05-17,VK Kumar,['Durga Varma']
,,Popular Productions,,PK Madhavan Nair,,,Ponkunnam Varkey,V Krishnan,,KD George,P Bhaskaran,,Navalokam (1951),,V Dakshinamoorthy,,Pappachan,Ponkunnam Varkey,,"V Dakshinamoorthy, P Leela, Alappuzha Pushpam, Kaviyoor CK Revamma, Kozhikode Abdul Khader",,1951-03-29,Ponkunnam Varkey,"['Thikkurissi Sukumaran Nair', 'Muthukulam Raghavan Pilla', 'Sebastian Kunjukunju Bhagavathar', 'TS Muthaiah', 'Miss Kumari', 'Vanchiyoor Madhavan Nair', 'Sethulakshmi (Old)']"
,,,,Arumukham,,,Munshi Paramupillai,G Viswanath,"Central Pictures Release, Kottayam",,P Kunjikrishna Menon,,Vanamaala (1951),,PS Divakar,,V&C Productions,G Viswanath,,"Jikki (PG Krishnaveni), Mehboob",,1951-09-06,G Viswanath,"['PA Thomas', 'Neyyaattinkara Komalam']"
,,,,,,,,P Bhaskaran,,,P Bhaskaran,,Pullimaan (1952),,"MS Baburaj, K Raghavan",,,,,Kozhikode Abdul Khader,,In progress,,[]
,,,,,,,,P Bhaskaran,,,P Bhaskaran,,Kathirkaanaakkili (1951),,K Raghavan,,,,,,,In progress,,[]
,,,,,,,K Balakrishnan,KMK Menon,,,P Bhaskaran,,Thyaagaseema (1951),,PS Divakar,,KMK Menon,K Balakrishnan,,,,In progress,K Balakrishnan,"['Prem Nazir', 'Sathyan', 'Indira Bhai Thankachi']"
,,,,,,,Joseph Pallippaattu,Joseph Pallippaattu,,,"PJ Antony, RA Kollamkode",,Suhruthu (1952),,G Viswanath,,,Joseph Pallippaattu,,,,1952-01-16,Joseph Pallippaattu,"['Alex Parakkal', 'MP Sanku', 'MS Namboothiri', 'PK Sankar', 'PM Revamma', 'V Ramachandran']"
,,Excel Productions,,P Balasubramaniam,,,Thikkurissi Sukumaran Nair,MRS Mani,,Mrs. Rajagopal,Abhayadev,,Achan (1952),,PS Divakar,,M Kunchacko,Thikkurissi Sukumaran Nair,,"P Leela, AM Raja, Kaviyoor CK Revamma, Thiruvananthapuram V Lakshmi, Kozhikode Abdul Khader, M Sathyam",,1952-12-24,Thikkurissi Sukumaran Nair,"['CR Rajakumari', 'Vanakkutty', 'Jayasree (Old)', 'Prem Nazir', 'Thikkurissi Sukumaran Nair', 'Sebastian Kunjukunju Bhagavathar', 'Boban Kunchacko', 'SP Pillai', 'Pankajavalli', 'Mathappan', 'CR Lakshmi', 'BS Saroja', 'Adoor Pankajam', 'Baby Girija']"
,,Aravind Productions,,,,,Vanakkutty,MK Mani,,,Vanakkutty,,Premalekha (1952),,PS Divakar,,,,,"Janamma David, Jose Prakash, NL Ganasaraswathy, Prasad Rao, TA Lakshmi, Ramani",,1952-07-25,Vanakkutty,"['Chitoor Madhavankutty Menon', 'Adoor Pankajam', 'Ambalappuzha Meenakshi', 'Baby Girija', 'Omalloor Chellamma', 'TR Omana', 'Jose Prakash', 'SP Pillai', 'SR Pallatt', 'Vanakkutty', 'Ambalappuzha Rajamma']"
